SampleID	nEvalVariants	novelSites	nVariantsAtComp	nInsertions	nDeletions	InsDelRatio	nSingletons	nHets	nHomRef	nHomVar	HetHomeRatio	nTi	nTv	TiTvRatio
Sample-478	3894367	371652	3522715	191371	206015	0.93	14058	2459160	34559876	1435207	1.71	1969754	1054913	1.87
Sample-479	3757061	314574	3442487	177689	196587	0.9	14374	2317600	34478210	1439461	1.61	1963531	1035280	1.9
Sample-480	3757452	314597	3442855	178871	197096	0.91	13981	2366233	34590239	1391219	1.7	1977562	1040817	1.9
Sample-481	3836652	349331	3487321	185462	205406	0.9	13406	2384871	34540929	1451781	1.64	1959310	1045473	1.87
Sample-482	3943418	398270	3545148	194660	209311	0.93	14563	2502092	34530078	1441326	1.74	1972282	1060293	1.86
Sample-483	3741116	318243	3422873	178489	198029	0.9	13616	2306467	34610700	1434649	1.61	1959466	1033176	1.9
Sample-484	3820367	330670	3489697	182849	202954	0.9	53645	2338898	34535139	1481469	1.58	2002167	1057236	1.89
Sample-485	4673415	489776	4183639	224207	256294	0.87	56621	3217619	33781395	1455796	2.21	2383863	1265693	1.88
Sample-486	3801784	333707	3468077	178342	201513	0.89	14197	2380880	34403515	1420904	1.68	1973245	1044856	1.89
Sample-487	3788197	327560	3460637	179454	198062	0.91	19757	2370977	34437254	1417220	1.67	1959513	1034992	1.89
Sample-488	3741609	312133	3429476	178569	196947	0.91	13982	2361243	34596121	1380366	1.71	1970629	1035589	1.9
Sample-489	3860526	350380	3510146	184977	206258	0.9	19255	2474509	34484581	1386017	1.79	1987089	1054150	1.89
Sample-490	3785679	320108	3465571	180645	199970	0.9	15850	2389927	34573583	1395752	1.71	1985395	1047416	1.9
Sample-491	3686275	295029	3391246	172919	192439	0.9	12653	2251485	34532435	1434790	1.57	1939803	1019236	1.9
Sample-492	3672826	291824	3381002	172175	190438	0.9	12672	2246764	34513721	1426062	1.58	1945099	1018901	1.91
Sample-493	3750301	323182	3427119	176377	196887	0.9	12724	2325059	34469367	1425242	1.63	1954061	1032278	1.89
Sample-494	3753344	322033	3431311	176913	197531	0.9	15614	2329301	34477663	1424043	1.64	1958609	1033424	1.9
Sample-495	3842906	345914	3496992	185025	207753	0.89	16201	2447266	34532951	1395640	1.75	1979075	1051770	1.88
Sample-496	3730830	309498	3421332	175798	195189	0.9	14834	2286977	34500915	1443853	1.58	1946919	1025155	1.9
Sample-497	4507632	418597	4089035	211375	246204	0.86	51852	3064496	33837567	1443136	2.12	2357549	1240579	1.9
Sample-498	3743057	326065	3416992	180029	199066	0.9	13910	2307502	34639359	1435555	1.61	1952127	1032209	1.89
Sample-499	3763020	320361	3442659	180977	200265	0.9	15982	2324395	34596942	1438625	1.62	1963073	1036817	1.89
Sample-500	3700914	304112	3396802	172336	193556	0.89	12632	2262016	34473683	1438898	1.57	1950954	1025297	1.9
Sample-501	3790168	338424	3451744	182121	202941	0.9	13673	2357839	34549008	1432329	1.65	1947408	1034341	1.88
Sample-502	3878454	358869	3519585	187588	208668	0.9	14923	2466438	34507491	1412016	1.75	1979214	1052694	1.88
Sample-503	3758983	332739	3426244	182392	200199	0.91	13388	2318292	34626343	1440691	1.61	1940272	1028332	1.89
Sample-504	3776734	340070	3436664	178188	199683	0.89	14479	2296728	34486795	1480006	1.55	1946278	1034165	1.88
Sample-505	3793029	339980	3453049	182923	202137	0.9	13602	2354216	34589529	1438813	1.64	1959498	1040930	1.88
Sample-506	3780488	314223	3466265	177379	197285	0.9	16904	2375880	34467226	1404608	1.69	1983903	1043435	1.9
Sample-507	3809537	330936	3478601	183175	203115	0.9	17928	2415255	34556549	1394282	1.73	1978013	1046214	1.89
Sample-508	3862973	333294	3529679	183090	204278	0.9	27275	2444198	34464984	1418775	1.72	2034721	1071275	1.9
Sample-509	3748065	325529	3422536	179347	198996	0.9	13275	2327358	34536140	1420707	1.64	1947253	1029210	1.89
Sample-510	3788490	339635	3448855	181470	199574	0.91	14173	2387634	34508498	1400856	1.7	1960126	1037920	1.89
Sample-511	3717228	311824	3405404	174223	194953	0.89	12928	2280800	34485690	1436428	1.59	1949038	1026184	1.9
Sample-512	3763518	333423	3430095	180705	200441	0.9	11703	2348875	34626693	1414643	1.66	1962329	1037695	1.89
Sample-513	3804852	322460	3482392	180115	198931	0.91	14453	2411555	34437533	1393297	1.73	1970967	1040303	1.89
Sample-514	3766331	331660	3434671	180296	200582	0.9	13098	2342675	34593719	1423656	1.65	1956290	1037263	1.89
Sample-515	3834543	335110	3499433	180332	202998	0.89	14503	2486186	34407539	1348357	1.84	1985378	1048213	1.89
Sample-516	3785170	320107	3465063	181009	200143	0.9	17913	2385228	34567258	1399942	1.7	1989972	1049737	1.9
Sample-517	3743156	312325	3430831	179073	194804	0.92	14946	2309081	34616291	1434075	1.61	1977367	1040135	1.9
Sample-518	3958902	350165	3608737	188586	213744	0.88	27806	2566783	34392345	1392119	1.84	2059691	1087317	1.89
Sample-519	3766679	327643	3439036	181151	201708	0.9	14281	2337243	34607827	1429436	1.64	1951803	1035172	1.89
Sample-520	3779198	334387	3444811	178297	200107	0.89	15372	2336885	34451525	1442313	1.62	1954320	1033083	1.89
Sample-521	3787449	332098	3455351	182272	203064	0.9	15107	2391790	34603098	1395659	1.71	1973584	1042995	1.89
Sample-522	3772809	329239	3443570	181091	201062	0.9	18847	2353074	34584846	1419735	1.66	1959889	1038256	1.89
Sample-523	3761811	314128	3447683	175594	197067	0.89	14922	2363386	34470725	1398425	1.69	1975076	1041526	1.9
Sample-524	3774215	322873	3451342	180949	200227	0.9	16118	2357419	34585996	1416796	1.66	1974419	1041242	1.9
Sample-525	3729907	306896	3423011	174335	194918	0.89	13580	2349679	34498500	1380228	1.7	1959774	1031865	1.9
Sample-526	3770313	316959	3453354	177435	196936	0.9	15467	2336790	34467988	1433523	1.63	1971906	1039057	1.9
Sample-527	4020302	355067	3665235	191264	215800	0.89	30611	2638606	34339284	1381696	1.91	2100230	1108295	1.9
Sample-528	4556000	427559	4128441	212024	251457	0.84	60331	3051594	33790080	1504406	2.03	2398130	1258192	1.91
Sample-529	3823988	334712	3489276	178973	203235	0.88	15456	2426872	34400936	1397116	1.74	1985281	1049535	1.89
Sample-530	3764869	318344	3446525	176346	198376	0.89	13154	2370087	34488432	1394782	1.7	1972458	1038923	1.9
Sample-531	3776970	326315	3450655	175151	199519	0.88	26199	2385197	34417321	1391773	1.71	1984309	1041598	1.91
Sample-532	3717758	299199	3418559	173731	193648	0.9	14047	2270219	34470966	1447539	1.57	1959766	1027119	1.91
Sample-533	4461290	395626	4065664	203378	239591	0.85	51252	3097097	33734257	1364193	2.27	2358122	1233347	1.91
Sample-534	3738760	297775	3440985	175484	194237	0.9	13951	2340117	34430177	1398643	1.67	1955819	1027345	1.9
Sample-535	3845866	337370	3508496	181826	201654	0.9	14924	2433906	34399745	1411960	1.72	1974910	1045811	1.89
Sample-536	3804546	336561	3467985	179808	197439	0.91	16418	2361619	34450045	1442927	1.64	1967830	1045296	1.88
Sample-537	3770041	320389	3449652	176151	198565	0.89	15377	2373105	34449641	1396936	1.7	1965977	1038971	1.89
Sample-538	3841308	346114	3495194	181735	201148	0.9	13708	2446522	34432323	1394786	1.75	1976068	1049161	1.88
Sample-539	3845999	345388	3500611	181990	202792	0.9	12958	2437937	34418588	1408062	1.73	1970453	1045035	1.89
Sample-540	3815621	329714	3485907	181352	199163	0.91	15281	2421913	34439390	1393708	1.74	1966755	1040181	1.89
Sample-541	3754403	304821	3449582	175327	195253	0.9	14636	2353732	34441848	1400671	1.68	1979362	1039417	1.9
Sample-542	3783432	324734	3458698	177790	198671	0.89	14125	2364921	34435136	1418511	1.67	1965680	1039037	1.89
Sample-543	3839443	345417	3494026	181438	202298	0.9	15011	2418302	34404775	1421141	1.7	1971940	1046999	1.88
Sample-544	3788054	329698	3458356	179015	196567	0.91	20772	2361083	34439271	1426971	1.65	1958477	1036214	1.89
Sample-545	3757972	320660	3437312	176848	197321	0.9	13372	2324712	34472282	1433260	1.62	1952691	1031946	1.89
Sample-546	3797651	343894	3453757	178520	199425	0.9	14530	2379036	34401652	1418615	1.68	1963401	1036037	1.9
Sample-547	3780287	326630	3453657	177325	199953	0.89	16936	2340186	34425105	1440101	1.63	1963637	1037667	1.89
Sample-548	3866601	350574	3516027	183059	203813	0.9	14143	2479750	34399211	1386851	1.79	1984328	1055105	1.88
Sample-549	3814481	333018	3481463	180661	198940	0.91	13683	2379281	34441880	1435200	1.66	1970882	1045247	1.89
Sample-550	3798524	320259	3478265	179333	197737	0.91	14599	2380340	34459601	1418184	1.68	1981960	1047207	1.89
Sample-551	3938571	354966	3583605	185605	208386	0.89	20785	2559312	34341572	1379259	1.86	2026004	1075237	1.88
Sample-552	3802941	330348	3472593	179472	199717	0.9	13657	2379945	34446821	1422996	1.67	1965860	1039994	1.89
Sample-553	3854694	334372	3520322	181928	201673	0.9	14933	2456525	34388962	1398169	1.76	1989410	1053769	1.89
Sample-554	3799971	324694	3475277	178595	198889	0.9	16712	2401172	34398248	1398799	1.72	1972984	1039946	1.9
Sample-555	3815367	348221	3467146	179028	200515	0.89	21430	2383154	34426902	1432213	1.66	1977064	1046421	1.89
Sample-556	3863662	353630	3510032	183168	203029	0.9	14837	2471094	34417611	1392568	1.77	1980378	1052115	1.88
Sample-557	3808511	343051	3465460	179594	200830	0.89	14061	2382886	34409544	1425625	1.67	1959418	1038033	1.89
Sample-558	3791044	336757	3454287	177705	200209	0.89	24703	2378306	34431514	1412738	1.68	1969414	1042369	1.89
Sample-559	3771746	317978	3453768	177164	198458	0.89	14648	2352142	34449694	1419604	1.66	1965255	1037557	1.89
Sample-560	3837450	338830	3498620	180041	203319	0.89	15074	2448562	34396819	1388888	1.76	1978858	1049757	1.89
Sample-561	4384562	366920	4017642	198114	235556	0.84	58110	2911029	33797094	1473533	1.98	2371278	1226909	1.93
Sample-562	3684165	297348	3386817	174004	190981	0.91	14038	2266223	34571707	1417942	1.6	1954146	1021767	1.91
Sample-563	3701944	305120	3396824	176260	192714	0.91	13678	2260484	34629379	1441460	1.57	1952960	1025987	1.9
Sample-564	3754268	308581	3445687	178025	196722	0.9	26627	2313507	34561675	1440761	1.61	1987571	1042157	1.91
Sample-565	3682693	290528	3392165	173982	190993	0.91	14596	2280287	34622742	1402406	1.63	1964339	1027125	1.91
Sample-566	3734815	313407	3421408	178468	196121	0.91	14686	2306838	34593936	1427977	1.62	1969936	1036272	1.9
Sample-567	3715555	308237	3407318	176104	192614	0.91	15791	2324679	34623693	1390876	1.67	1975572	1036405	1.91
Sample-568	3808837	334847	3473990	183751	201864	0.91	13877	2367126	34571270	1441711	1.64	1956212	1039610	1.88
Sample-569	3773941	327930	3446011	181814	199311	0.91	14569	2331537	34583712	1442404	1.62	1958984	1035866	1.89
Sample-570	3693906	299862	3394044	174149	191344	0.91	15131	2269949	34595582	1423957	1.59	1969880	1030903	1.91
Sample-571	3825225	333463	3491762	183469	201445	0.91	15786	2425666	34543097	1399559	1.73	1970590	1045369	1.89
Sample-572	3761301	322817	3438484	179539	198349	0.91	15072	2363604	34591189	1397697	1.69	1970879	1038821	1.9
Sample-573	3761495	325427	3436068	176377	197546	0.89	13373	2336468	34435089	1425027	1.64	1955898	1032709	1.89
Sample-574	3812442	330665	3481777	182673	201702	0.91	13321	2386341	34548347	1426101	1.67	1963166	1041787	1.88
Sample-575	3757848	316230	3441618	180290	194022	0.93	14892	2303284	34604727	1454564	1.58	1966859	1037971	1.89
Sample-576	3686241	304799	3381442	175127	194039	0.9	14143	2281188	34623954	1405053	1.62	1949783	1022976	1.91
Sample-577	3794830	318731	3476099	179620	201230	0.89	16285	2359107	34516476	1435723	1.64	1998596	1049340	1.9
Sample-578	3732501	309949	3422552	178376	193304	0.92	13701	2294187	34632310	1438314	1.6	1954979	1032546	1.89
Sample-579	4381036	364964	4016072	199806	233664	0.86	56176	2885373	33847525	1495663	1.93	2371900	1227146	1.93
Sample-580	3767665	320939	3446726	181128	195092	0.93	13467	2336556	34610000	1431109	1.63	1957826	1037482	1.89
Sample-581	3695699	296754	3398945	175047	191717	0.91	13817	2258970	34597824	1436729	1.57	1961537	1027120	1.91
Sample-582	3741165	317809	3423356	177872	196215	0.91	13107	2292205	34592567	1448960	1.58	1964861	1036197	1.9
Sample-583	3674355	304180	3370175	173685	191587	0.91	14106	2251011	34648294	1423344	1.58	1949922	1022813	1.91
Sample-584	3699215	297567	3401648	176693	192755	0.92	14332	2251636	34610192	1447579	1.56	1957040	1026296	1.91
Sample-585	3747001	304378	3442623	175031	193540	0.9	13517	2345046	34409384	1401955	1.67	1960805	1028846	1.91
Sample-586	3718839	298652	3420187	177115	194222	0.91	15984	2320235	34612911	1398604	1.66	1971928	1033280	1.91
Sample-587	3741239	307658	3433581	177717	196561	0.9	16557	2330619	34574070	1410620	1.65	1981154	1038627	1.91
Sample-588	3687320	292255	3395065	175008	191821	0.91	14296	2302765	34629503	1384555	1.66	1962270	1026563	1.91
Sample-589	3785994	332695	3453299	182358	199315	0.91	13933	2350518	34570525	1435476	1.64	1948282	1035227	1.88
Sample-590	3656184	288009	3368175	173798	190192	0.91	13066	2219874	34642720	1436310	1.55	1937178	1014900	1.91
Sample-591	3672103	292256	3379847	174885	190878	0.92	13780	2249547	34622015	1422556	1.58	1950765	1021175	1.91
Sample-592	3715778	310898	3404880	176962	193576	0.91	14350	2269444	34621155	1446334	1.57	1963652	1032239	1.9
Sample-593	3755388	302618	3452770	177671	194839	0.91	20633	2371435	34561252	1383953	1.71	1995221	1044347	1.91
Sample-594	3702861	300343	3402518	175006	194874	0.9	68315	2157704	34570182	1545157	1.4	1963813	1029311	1.91
Sample-595	3643119	279567	3363552	171911	185416	0.93	14273	2211786	34624665	1431333	1.55	1951428	1016671	1.92
Sample-596	3733682	317262	3416420	176415	195077	0.9	22040	2302681	34482923	1431001	1.61	1971593	1033662	1.91
Sample-597	3626981	304943	3322038	169128	182725	0.93	21227	2207272	34565734	1419709	1.55	1930916	1008047	1.92
Sample-598	3708248	309497	3398751	176684	191368	0.92	12825	2276163	34639568	1432085	1.59	1954514	1028945	1.9
Sample-599	3678739	295922	3382817	173747	190800	0.91	14881	2258215	34628466	1420524	1.59	1956733	1025389	1.91
Sample-600	3774640	323328	3451312	177188	197198	0.9	13823	2349457	34483484	1425183	1.65	1969021	1039344	1.89
Sample-601	3785125	328757	3456368	176921	199710	0.89	64289	2230086	34433814	1555039	1.43	1972469	1042831	1.89
Sample-602	3786129	321841	3464288	181762	197097	0.92	14480	2370789	34602434	1415340	1.68	1970852	1040681	1.89
Sample-603	3705127	303392	3401735	176044	193702	0.91	14014	2262268	34623845	1442859	1.57	1959297	1028573	1.9
Sample-604	3677943	286897	3391046	174675	188895	0.92	12325	2257017	34628405	1420926	1.59	1958669	1022833	1.91
Sample-605	3663595	289249	3374346	173551	191842	0.9	13220	2244584	34602447	1419011	1.58	1949560	1018030	1.92
Sample-606	3667103	291950	3375153	174552	190631	0.92	12759	2242022	34632223	1425081	1.57	1940531	1017680	1.91
Sample-607	3755324	310201	3445123	178403	192669	0.93	16040	2366580	34587379	1388744	1.7	1983848	1043000	1.9
Sample-608	3745322	318511	3426811	178811	196085	0.91	17868	2333263	34582238	1412059	1.65	1968834	1035281	1.9
Sample-609	3731957	301674	3430283	176166	191810	0.92	19429	2362319	34581053	1369638	1.72	1982971	1038427	1.91
Sample-610	3796254	313903	3482351	179883	197046	0.91	26806	2409043	34518960	1387211	1.74	2009351	1053287	1.91
Sample-611	3709296	305363	3403933	178273	191900	0.93	13551	2278035	34636163	1431261	1.59	1949708	1026833	1.9
Sample-612	3689631	285731	3403900	173687	188230	0.92	13541	2300609	34605699	1389022	1.66	1981283	1032420	1.92
Sample-613	4427010	378470	4048540	204190	236165	0.86	56540	2972630	33858877	1454380	2.04	2364677	1233364	1.92
Sample-614	3744458	312978	3431480	178341	194707	0.92	12955	2307021	34604441	1437437	1.6	1967372	1036822	1.9
Sample-615	3748647	300045	3448602	178228	194324	0.92	15402	2374730	34579349	1373917	1.73	1985740	1041341	1.91
Sample-616	3644765	278801	3365964	172297	186635	0.92	14575	2204957	34630305	1439808	1.53	1952861	1017845	1.92
Sample-617	3706006	305992	3400014	176348	193395	0.91	14289	2269157	34622677	1436849	1.58	1955242	1027135	1.9
Sample-618	3672958	293185	3379773	175188	191356	0.92	13322	2254375	34641887	1418583	1.59	1948675	1021420	1.91
Sample-619	3811197	332288	3478909	183580	200836	0.91	15145	2405302	34564237	1405895	1.71	1973592	1045291	1.89
Sample-620	3714639	294575	3420064	176404	191530	0.92	15030	2313993	34608459	1400646	1.65	1973894	1032031	1.91
Sample-621	3676452	288834	3387618	174756	190350	0.92	13918	2251295	34623811	1425157	1.58	1948574	1021259	1.91
Sample-622	3785024	317246	3467778	180601	195196	0.93	15597	2381287	34573098	1403737	1.7	1974892	1041715	1.9
Sample-623	3687412	294993	3392419	175026	191271	0.92	14124	2258261	34636763	1429151	1.58	1961155	1027645	1.91
Sample-624	3763653	319511	3444142	180321	197622	0.91	13409	2309487	34590790	1454166	1.59	1951266	1033510	1.89
Sample-625	3910475	340059	3570416	182992	205663	0.89	29597	2515799	34325913	1394676	1.8	2036076	1073448	1.9
Sample-626	3728711	309075	3419636	177676	190985	0.93	15381	2282301	34610477	1446410	1.58	1950004	1030161	1.89
Sample-627	4423108	398356	4024752	205517	237833	0.86	47496	2964403	33900958	1458705	2.03	2341752	1226874	1.91
Sample-628	3739291	321831	3417460	179170	196342	0.91	13146	2294140	34614349	1445151	1.59	1950777	1030681	1.89
Sample-629	3788514	328981	3459533	181652	200309	0.91	13868	2408610	34586396	1379904	1.75	1968790	1042386	1.89
Sample-630	3707708	311477	3396231	176981	195039	0.91	12780	2256717	34623907	1450991	1.56	1946608	1024854	1.9
Sample-631	3782929	316288	3466641	177529	196216	0.9	14314	2372060	34448112	1410869	1.68	1981664	1043932	1.9
Sample-632	3793669	328854	3464815	182389	199075	0.92	14321	2338123	34591902	1455546	1.61	1964088	1041148	1.89
Sample-633	3771720	320366	3451354	181266	197355	0.92	14688	2344702	34597396	1427018	1.64	1965231	1037890	1.89
Sample-634	3754643	323793	3430850	179046	197039	0.91	19111	2331331	34590040	1423312	1.64	1946958	1030932	1.89
Sample-635	3655585	281757	3373828	172428	188998	0.91	13453	2226274	34632215	1429311	1.56	1953009	1019044	1.92
Sample-636	3722094	312345	3409749	177940	196292	0.91	15887	2298132	34608139	1423962	1.61	1941270	1026252	1.89
Sample-637	4439361	383325	4056036	205419	238674	0.86	50407	3110316	33866172	1329045	2.34	2357590	1232475	1.91
Sample-638	3718510	291140	3427370	175945	192609	0.91	14413	2338385	34589713	1380125	1.69	1982594	1035295	1.92
Sample-639	3915717	374390	3541327	190328	205778	0.92	14808	2507738	34535394	1407979	1.78	1982290	1059779	1.87
Sample-640	3774070	327770	3446300	180398	198412	0.91	16661	2387062	34611312	1387008	1.72	1982124	1043790	1.9
Sample-641	3743376	306234	3437142	176373	193614	0.91	14556	2339566	34578245	1403810	1.67	1987407	1043446	1.9
Sample-642	3747564	321939	3425625	175889	197965	0.89	14145	2322854	34524809	1424710	1.63	1959482	1034236	1.89
Sample-643	3733607	317970	3415637	178605	196912	0.91	13081	2288396	34619760	1445211	1.58	1958474	1034675	1.89
Sample-644	3776606	315291	3461315	178328	198526	0.9	15252	2378286	34542765	1398320	1.7	1982255	1044378	1.9
Sample-645	3706897	312944	3393953	177360	195505	0.91	13359	2293849	34637539	1413048	1.62	1951168	1027149	1.9
Sample-646	3725044	329457	3395587	178313	194317	0.92	15411	2301384	34426397	1423660	1.62	1939337	1023153	1.9
Sample-647	4567040	416186	4150854	209157	248648	0.84	60437	3138220	33704915	1428820	2.2	2412960	1263346	1.91
Sample-648	3867101	347027	3520074	185372	203966	0.91	14885	2463107	34508341	1403994	1.75	1984387	1055869	1.88
Sample-649	3892742	338167	3554575	186683	202610	0.92	15146	2494959	34461543	1397783	1.78	1986274	1056998	1.88
Sample-650	3957634	367659	3589975	189653	208856	0.91	20847	2561621	34433032	1396013	1.83	1995801	1067784	1.87
Sample-651	3896444	362053	3534391	188590	205152	0.92	18136	2473650	34494264	1422794	1.74	1969073	1050952	1.87
Sample-652	3937512	353849	3583663	189523	207076	0.92	19745	2538529	34443187	1398983	1.81	2000918	1065659	1.88
Sample-653	3829459	340366	3489093	185278	199034	0.93	13398	2375976	34539676	1453483	1.63	1953105	1041657	1.87
Sample-654	3933942	376176	3557766	190861	208732	0.91	14532	2501792	34479702	1432150	1.75	1965406	1054591	1.86
Sample-655	3947683	374994	3572689	190831	208535	0.92	16101	2562616	34477267	1385067	1.85	1977020	1061318	1.86
